country_fr,iso3c,pop2018,date,test_unit,tests,cases,deaths,tests_7dravg,cases_7dravg,deaths_7dravg,ctratio_7dravg
Belgique,BEL,11422068,2020-02-23,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-02-24,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-02-25,NA,NA,0,0,NA,0,0,NA
Belgique,BEL,11422068,2020-02-26,NA,NA,0,0,NA,1,0,NA
Belgique,BEL,11422068,2020-02-27,NA,NA,0,0,NA,2,0,NA
Belgique,BEL,11422068,2020-02-28,NA,NA,0,0,NA,3,0,NA
Belgique,BEL,11422068,2020-02-29,NA,NA,0,0,NA,7,0,NA
Belgique,BEL,11422068,2020-03-01,units unclear,56,0,0,NA,15,0,NA
Belgique,BEL,11422068,2020-03-02,units unclear,270,1,0,NA,24,0,NA
Belgique,BEL,11422068,2020-03-03,units unclear,473,6,0,NA,28,0,NA
Belgique,BEL,11422068,2020-03-04,units unclear,651,5,0,NA,33,0,NA
Belgique,BEL,11422068,2020-03-05,units unclear,704,10,0,NA,36,0,NA
Belgique,BEL,11422068,2020-03-06,units unclear,1027,27,0,NA,42,0,NA
Belgique,BEL,11422068,2020-03-07,units unclear,403,59,0,NA,50,0,NA
Belgique,BEL,11422068,2020-03-08,units unclear,415,60,0,563,64,0,0.11
Belgique,BEL,11422068,2020-03-09,units unclear,515,31,0,598,74,1,0.12
Belgique,BEL,11422068,2020-03-10,units unclear,684,39,0,628,98,1,0.16
Belgique,BEL,11422068,2020-03-11,units unclear,922,28,0,667,121,1,0.18
Belgique,BEL,11422068,2020-03-12,units unclear,1285,47,3,750,139,1,0.19
Belgique,BEL,11422068,2020-03-13,units unclear,2144,85,0,910,167,2,0.18
Belgique,BEL,11422068,2020-03-14,units unclear,1747,160,0,1102,199,3,0.18
Belgique,BEL,11422068,2020-03-15,units unclear,1051,130,1,1193,243,5,0.2
Belgique,BEL,11422068,2020-03-16,units unclear,1466,197,0,1328,304,9,0.23
Belgique,BEL,11422068,2020-03-17,units unclear,1811,199,1,1489,359,10,0.24
Belgique,BEL,11422068,2020-03-18,units unclear,2117,158,0,1660,380,12,0.23
Belgique,BEL,11422068,2020-03-19,units unclear,2556,243,9,1842,432,17,0.23
Belgique,BEL,11422068,2020-03-20,units unclear,2479,309,7,1890,493,23,0.26
Belgique,BEL,11422068,2020-03-21,units unclear,1775,462,16,1894,634,28,0.33
Belgique,BEL,11422068,2020-03-22,units unclear,1092,558,30,1899,718,36,0.38
Belgique,BEL,11422068,2020-03-23,units unclear,2469,586,8,2043,903,41,0.44
Belgique,BEL,11422068,2020-03-24,units unclear,3000,342,13,2213,1062,51,0.48
Belgique,BEL,11422068,2020-03-25,units unclear,3301,526,34,2382,1165,61,0.49
